"","dataset","provider","group","year","cntry","npts","clusterID","provider_col","npts_gp","npts_class","npts_cex","recent","X","Y","recs"
"77","National Mammal Atlas Project, online recording","Mammal Society",1343,2010,"Scotland",1,"97","#ff7f00","[0,2)","1",7,0.3,-5.610462,56.004985,"(1 record)"
"78","National Mammal Atlas Project, online recording","Mammal Society",8,2017,"Scotland",1,"497","#ff7f00","[0,2)","1",7,0.5,-3.3076,56.3763,"(1 record)"
"79","National Mammal Atlas Project, online recording","Mammal Society",26,2011,"Scotland",2,"246","#ff7f00","[2,5)","[2,5)",14,0.3,-5.618858,56.094652,"(2 records)"
"80","National Mammal Atlas Project, online recording","Mammal Society",77,2011,"Scotland",1,"489","#ff7f00","[0,2)","1",7,0.3,-3.385631,56.589183,"(1 record)"
"81","National Mammal Atlas Project, online recording","Mammal Society",114,2011,"Scotland",1,"60","#ff7f00","[0,2)","1",7,0.3,-4.041388,56.670006,"(1 record)"
"82","National Mammal Atlas Project, online recording","Mammal Society",615,2011,"Scotland",1,"434","#ff7f00","[0,2)","1",7,0.3,-3.062574,56.682207,"(1 record)"
"83","National Mammal Atlas Project, online recording","Mammal Society",46,2017,"Scotland",9,"367","#ff7f00","[5,50)","[5,50)",21,0.5,-3.54318276434252,56.3327706315053,"(9 records)"
"84","National Mammal Atlas Project, online recording","Mammal Society",95,2017,"Scotland",3,"531","#ff7f00","[2,5)","[2,5)",14,0.5,-3.60890722258704,56.5792346382708,"(3 records)"
"85","National Mammal Atlas Project, online recording","Mammal Society",101,2017,"Scotland",2,"33","#ff7f00","[2,5)","[2,5)",14,0.5,-3.715205,56.674927,"(2 records)"
"86","National Mammal Atlas Project, online recording","Mammal Society",1,2012,"Scotland",1,"6","#ff7f00","[0,2)","1",7,0.3,-5.558987,56.055935,"(1 record)"
"87","National Mammal Atlas Project, online recording","Mammal Society",16,2012,"Scotland",7,"130","#ff7f00","[5,50)","[5,50)",21,0.3,-5.618858,56.094652,"(7 records)"
"88","National Mammal Atlas Project, online recording","Mammal Society",83,2012,"Scotland",2,"509","#ff7f00","[2,5)","[2,5)",14,0.3,-3.379094,56.409557,"(2 records)"
"89","National Mammal Atlas Project, online recording","Mammal Society",89,2012,"Scotland",1,"518","#ff7f00","[0,2)","1",7,0.3,-4.576311,57.436997,"(1 record)"
"90","National Mammal Atlas Project, online recording","Mammal Society",114,2012,"Scotland",1,"61","#ff7f00","[0,2)","1",7,0.3,-4.012744,56.131298,"(1 record)"
"91","National Mammal Atlas Project, online recording","Mammal Society",235,2012,"Scotland",4,"226","#ff7f00","[2,5)","[2,5)",14,0.3,-5.58390935576019,56.0214953538972,"(4 records)"
"92","National Mammal Atlas Project, online recording","Mammal Society",288,2012,"Scotland",1,"266","#ff7f00","[0,2)","1",7,0.3,-4.041388,56.670006,"(1 record)"
"93","National Mammal Atlas Project, online recording","Mammal Society",317,2012,"Scotland",1,"298","#ff7f00","[0,2)","1",7,0.3,-3.53747,56.317841,"(1 record)"
"94","National Mammal Atlas Project, online recording","Mammal Society",455,2012,"Scotland",1,"366","#ff7f00","[0,2)","1",7,0.3,-3.691132,56.136121,"(1 record)"
"95","National Mammal Atlas Project, online recording","Mammal Society",485,2012,"Scotland",2,"379","#ff7f00","[2,5)","[2,5)",14,0.3,-5.458428,56.099255,"(2 records)"
"96","National Mammal Atlas Project, online recording","Mammal Society",519,2012,"Scotland",1,"403","#ff7f00","[0,2)","1",7,0.3,-3.060051,56.592385,"(1 record)"
"97","National Mammal Atlas Project, online recording","Mammal Society",784,2012,"Scotland",1,"491","#ff7f00","[0,2)","1",7,0.3,-3.54109,56.40765,"(1 record)"
"98","National Mammal Atlas Project, online recording","Mammal Society",8906,2017,"Scotland",1,"521","#ff7f00","[0,2)","1",7,0.5,-4.350711,56.394943,"(1 record)"
"99","National Mammal Atlas Project, online recording","Mammal Society",18067,2017,"Scotland",2,"162","#ff7f00","[2,5)","[2,5)",14,0.5,-3.375854,56.319741,"(2 records)"
"100","Mammal Mapper App Sighting Records","Mammal Society",22,2020,"Scotland",1,"209","#ff7f00","[0,2)","1",7,0.7,-3.567629,56.581856,"(1 record)"
"101","Mammal Mapper App Sighting Records","Mammal Society",25,2020,"Scotland",2,"239","#ff7f00","[2,5)","[2,5)",14,0.7,-3.45231550561167,56.4277695304843,"(2 records)"
"102","Mammal Mapper App Sighting Records","Mammal Society",33,2020,"Scotland",2,"302","#ff7f00","[2,5)","[2,5)",14,0.7,-3.2856459999929,56.5867085,"(2 records)"
"103","Mammal Mapper App Sighting Records","Mammal Society",43,2020,"Scotland",1,"354","#ff7f00","[0,2)","1",7,0.7,-3.778356,56.343236,"(1 record)"
"104","Mammal Mapper App Sighting Records","Mammal Society",50,2020,"Scotland",7,"390","#ff7f00","[5,50)","[5,50)",21,0.7,-3.04600549996564,56.6733630666462,"(7 records)"
"105","Mammal Mapper App Sighting Records","Mammal Society",62,2020,"Scotland",1,"437","#ff7f00","[0,2)","1",7,0.7,-4.003039,56.345108,"(1 record)"
"106","Mammal Mapper App Sighting Records","Mammal Society",80,2020,"Scotland",1,"505","#ff7f00","[0,2)","1",7,0.7,-3.955895,56.372461,"(1 record)"
"107","Mammal Mapper App Sighting Records","Mammal Society",183,2020,"Scotland",1,"165","#ff7f00","[0,2)","1",7,0.7,-4.305135,56.366097,"(1 record)"
"108","Mammal Mapper App Sighting Records","Mammal Society",362,2020,"Scotland",1,"316","#ff7f00","[0,2)","1",7,0.7,-3.804435,56.144896,"(1 record)"
"109","Mammal Mapper App Sighting Records","Mammal Society",701,2020,"Scotland",1,"470","#ff7f00","[0,2)","1",7,0.7,-3.630691,56.647355,"(1 record)"
"110","Mammal Mapper App Sighting Records","Mammal Society",2226,2020,"Scotland",1,"216","#ff7f00","[0,2)","1",7,0.7,-2.931128,56.647322,"(1 record)"
"111","Mammal Mapper App Sighting Records","Mammal Society",2643,2020,"Scotland",1,"250","#ff7f00","[0,2)","1",7,0.7,-3.106317,56.445219,"(1 record)"
"112","National Mammal Atlas Project, online recording","Mammal Society",2,2020,"Scotland",1,"186","#ff7f00","[0,2)","1",7,0.7,-4.026943,56.400659,"(1 record)"
"113","National Mammal Atlas Project, online recording","Mammal Society",3,2020,"Scotland",3,"278","#ff7f00","[2,5)","[2,5)",14,0.7,-4.34880475874662,56.2185313340108,"(3 records)"
"114","National Mammal Atlas Project, online recording","Mammal Society",4,2020,"Scotland",13,"330","#ff7f00","[5,50)","[5,50)",21,0.7,-3.379094,56.409557,"(13 records)"
"115","National Mammal Atlas Project, online recording","Mammal Society",5,2020,"Scotland",1,"384","#ff7f00","[0,2)","1",7,0.7,-4.47529999999999,57.4701,"(1 record)"
"116","National Mammal Atlas Project, online recording","Mammal Society",8,2020,"Scotland",4,"499","#ff7f00","[2,5)","[2,5)",14,0.7,-3.544731,56.497457,"(4 records)"
"117","National Mammal Atlas Project, online recording","Mammal Society",10,2020,"Scotland",3,"29","#ff7f00","[2,5)","[2,5)",14,0.7,-3.375854,56.319741,"(3 records)"
"118","National Mammal Atlas Project, online recording","Mammal Society",14,2020,"Scotland",2,"104","#ff7f00","[2,5)","[2,5)",14,0.7,-5.54948652283491,56.0618281313728,"(2 records)"
"119","National Mammal Atlas Project, online recording","Mammal Society",16,2020,"Scotland",1,"137","#ff7f00","[0,2)","1",7,0.7,-3.84221999999999,56.63487,"(1 record)"
"120","National Mammal Atlas Project, online recording","Mammal Society",18,2020,"Scotland",1,"159","#ff7f00","[0,2)","1",7,0.7,-4.012744,56.131298,"(1 record)"
"121","National Mammal Atlas Project, online recording","Mammal Society",22,2020,"Scotland",1,"209","#ff7f00","[0,2)","1",7,0.7,-3.548394,56.587263,"(1 record)"
"122","National Mammal Atlas Project, online recording","Mammal Society",23,2020,"Scotland",3,"222","#ff7f00","[2,5)","[2,5)",14,0.7,-4.036545,56.580225,"(3 records)"
"123","National Mammal Atlas Project, online recording","Mammal Society",24,2020,"Scotland",2,"230","#ff7f00","[2,5)","[2,5)",14,0.7,-3.060051,56.592385,"(2 records)"
"124","National Mammal Atlas Project, online recording","Mammal Society",31,2020,"Scotland",1,"291","#ff7f00","[0,2)","1",7,0.7,-3.699064,56.315729,"(1 record)"
"125","National Mammal Atlas Project, online recording","Mammal Society",43,2020,"Scotland",1,"354","#ff7f00","[0,2)","1",7,0.7,-3.8335406,56.3479725,"(1 record)"
"126","National Mammal Atlas Project, online recording","Mammal Society",80,2020,"Scotland",1,"505","#ff7f00","[0,2)","1",7,0.7,-3.9689,56.375,"(1 record)"
"127","National Mammal Atlas Project, online recording","Mammal Society",97,2020,"Scotland",2,"534","#ff7f00","[2,5)","[2,5)",14,0.7,-3.22285,56.590891,"(2 records)"
"128","National Mammal Atlas Project, online recording","Mammal Society",154,2020,"Scotland",8,"124","#ff7f00","[5,50)","[5,50)",21,0.7,-3.87309192875183,56.6040520023255,"(8 records)"
"129","National Mammal Atlas Project, online recording","Mammal Society",183,2020,"Scotland",3,"165","#ff7f00","[2,5)","[2,5)",14,0.7,-4.350711,56.394943,"(3 records)"
"130","National Mammal Atlas Project, online recording","Mammal Society",220,2020,"Scotland",1,"211","#ff7f00","[0,2)","1",7,0.7,-3.196816,56.336201,"(1 record)"
"131","National Mammal Atlas Project, online recording","Mammal Society",256,2020,"Scotland",4,"244","#ff7f00","[2,5)","[2,5)",14,0.7,-3.35541747623346,56.5070804149111,"(4 records)"
"132","National Mammal Atlas Project, online recording","Mammal Society",362,2020,"Scotland",3,"316","#ff7f00","[2,5)","[2,5)",14,0.7,-3.85195,56.133814,"(3 records)"
"133","National Mammal Atlas Project, online recording","Mammal Society",411,2020,"Scotland",1,"346","#ff7f00","[0,2)","1",7,0.7,-3.860636,56.313407,"(1 record)"
"134","National Mammal Atlas Project, online recording","Mammal Society",1,2013,"Scotland",3,"7","#ff7f00","[2,5)","[2,5)",14,0.3,-5.55065278568501,56.0483076805633,"(3 records)"
"135","National Mammal Atlas Project, online recording","Mammal Society",14,2013,"Scotland",1,"102","#ff7f00","[0,2)","1",7,0.3,-2.899374,56.683493,"(1 record)"
"136","National Mammal Atlas Project, online recording","Mammal Society",16,2013,"Scotland",1,"131","#ff7f00","[0,2)","1",7,0.3,-3.062574,56.682207,"(1 record)"
"137","National Mammal Atlas Project, online recording","Mammal Society",18,2013,"Scotland",1,"155","#ff7f00","[0,2)","1",7,0.3,-4.178592,56.218353,"(1 record)"
"138","National Mammal Atlas Project, online recording","Mammal Society",51,2013,"Scotland",1,"396","#ff7f00","[0,2)","1",7,0.3,-3.21708,56.411253,"(1 record)"
"139","National Mammal Atlas Project, online recording","Mammal Society",131,2013,"Scotland",1,"93","#ff7f00","[0,2)","1",7,0.3,-3.379094,56.409557,"(1 record)"
"140","National Mammal Atlas Project, online recording","Mammal Society",167,2013,"Scotland",1,"146","#ff7f00","[0,2)","1",7,0.3,-3.548394,56.587263,"(1 record)"
"141","National Mammal Atlas Project, online recording","Mammal Society",209,2013,"Scotland",2,"198","#ff7f00","[2,5)","[2,5)",14,0.3,-3.54109,56.40765,"(2 records)"
"142","National Mammal Atlas Project, online recording","Mammal Society",263,2013,"Scotland",1,"249","#ff7f00","[0,2)","1",7,0.3,-3.544731,56.497457,"(1 record)"
"143","National Mammal Atlas Project, online recording","Mammal Society",265,2013,"Scotland",1,"251","#ff7f00","[0,2)","1",7,0.3,-3.22285,56.590891,"(1 record)"
"144","National Mammal Atlas Project, online recording","Mammal Society",402,2013,"Scotland",1,"338","#ff7f00","[0,2)","1",7,0.3,-4.57551,57.437463,"(1 record)"
"145","National Mammal Atlas Project, online recording","Mammal Society",24,2016,"Scotland",1,"228","#ff7f00","[0,2)","1",7,0.3,-3.21708,56.411253,"(1 record)"
"146","National Mammal Atlas Project, online recording","Mammal Society",27,2016,"Scotland",1,"252","#ff7f00","[0,2)","1",7,0.3,-4.339705,56.215409,"(1 record)"
"147","National Mammal Atlas Project, online recording","Mammal Society",1,2014,"Scotland",4,"8","#ff7f00","[2,5)","[2,5)",14,0.3,-3.55426638353491,56.5815741382976,"(4 records)"
"148","National Mammal Atlas Project, online recording","Mammal Society",7,2014,"Scotland",2,"463","#ff7f00","[2,5)","[2,5)",14,0.3,-5.55041886480179,56.048400193429,"(2 records)"
"149","National Mammal Atlas Project, online recording","Mammal Society",9,2014,"Scotland",3,"523","#ff7f00","[2,5)","[2,5)",14,0.3,-3.699064,56.315729,"(3 records)"
"150","National Mammal Atlas Project, online recording","Mammal Society",12,2014,"Scotland",1,"69","#ff7f00","[0,2)","1",7,0.3,-4.173511,56.128573,"(1 record)"
"151","National Mammal Atlas Project, online recording","Mammal Society",15,2014,"Scotland",1,"117","#ff7f00","[0,2)","1",7,0.3,-3.467421,56.424222,"(1 record)"
"152","National Mammal Atlas Project, online recording","Mammal Society",16,2014,"Scotland",1,"132","#ff7f00","[0,2)","1",7,0.3,-3.85195,56.133814,"(1 record)"
"153","National Mammal Atlas Project, online recording","Mammal Society",69,2016,"Scotland",1,"454","#ff7f00","[0,2)","1",7,0.3,-3.865016,56.403201,"(1 record)"
"154","Mammal Mapper App Sighting Records","Mammal Society",3,2019,"Scotland",1,"277","#ff7f00","[0,2)","1",7,0.6,-3.348871,56.569776,"(1 record)"
"155","National Mammal Atlas Project, online recording","Mammal Society",1,2015,"Scotland",2,"9","#ff7f00","[2,5)","[2,5)",14,0.3,-3.544731,56.497457,"(2 records)"
"156","National Mammal Atlas Project, online recording","Mammal Society",2,2015,"Scotland",1,"182","#ff7f00","[0,2)","1",7,0.3,-3.715205,56.674927,"(1 record)"
"157","National Mammal Atlas Project, online recording","Mammal Society",3,2015,"Scotland",7,"274","#ff7f00","[5,50)","[5,50)",21,0.3,-3.22285,56.590891,"(7 records)"
"158","National Mammal Atlas Project, online recording","Mammal Society",4,2015,"Scotland",5,"327","#ff7f00","[5,50)","[5,50)",21,0.3,-3.51259921267865,56.4132782654009,"(5 records)"
"159","National Mammal Atlas Project, online recording","Mammal Society",6,2015,"Scotland",3,"423","#ff7f00","[2,5)","[2,5)",14,0.3,-3.385631,56.589183,"(3 records)"
"160","National Mammal Atlas Project, online recording","Mammal Society",8,2015,"Scotland",8,"496","#ff7f00","[5,50)","[5,50)",21,0.3,-2.897238,56.593666,"(8 records)"
"161","National Mammal Atlas Project, online recording","Mammal Society",10,2015,"Scotland",1,"25","#ff7f00","[0,2)","1",7,0.3,-3.1605,56.6591,"(1 record)"
"162","National Mammal Atlas Project, online recording","Mammal Society",15,2015,"Scotland",2,"118","#ff7f00","[2,5)","[2,5)",14,0.3,-3.379094,56.409557,"(2 records)"
"163","National Mammal Atlas Project, online recording","Mammal Society",18,2015,"Scotland",1,"156","#ff7f00","[0,2)","1",7,0.3,-3.375854,56.319741,"(1 record)"
"164","National Mammal Atlas Project, online recording","Mammal Society",20,2015,"Scotland",2,"190","#ff7f00","[2,5)","[2,5)",14,0.3,-3.695087,56.225926,"(2 records)"
"165","National Mammal Atlas Project, online recording","Mammal Society",22,2015,"Scotland",1,"207","#ff7f00","[0,2)","1",7,0.3,-5.55310000000001,56.0401,"(1 record)"
"166","National Mammal Atlas Project, online recording","Mammal Society",24,2015,"Scotland",2,"227","#ff7f00","[2,5)","[2,5)",14,0.3,-3.382353,56.499371,"(2 records)"
"167","National Mammal Atlas Project, online recording","Mammal Society",28,2015,"Scotland",6,"260","#ff7f00","[5,50)","[5,50)",21,0.3,-3.55434728055942,56.5854816421552,"(6 records)"
"168","National Mammal Atlas Project, online recording","Mammal Society",31,2015,"Scotland",1,"289","#ff7f00","[0,2)","1",7,0.3,-3.53747,56.317841,"(1 record)"
"169","National Mammal Atlas Project, online recording","Mammal Society",34,2015,"Scotland",1,"307","#ff7f00","[0,2)","1",7,0.3,-3.060051,56.592385,"(1 record)"
"170","National Mammal Atlas Project, online recording","Mammal Society",41,2015,"Scotland",1,"342","#ff7f00","[0,2)","1",7,0.3,-3.85195,56.133814,"(1 record)"
"171","National Mammal Atlas Project, online recording","Mammal Society",45,2015,"Scotland",1,"362","#ff7f00","[0,2)","1",7,0.3,-4.579724,57.378964,"(1 record)"
"172","National Mammal Atlas Project, online recording","Mammal Society",47,2015,"Scotland",1,"374","#ff7f00","[0,2)","1",7,0.3,-2.85829999999999,56.4251,"(1 record)"
"173","National Mammal Atlas Project, online recording","Mammal Society",1,2016,"Scotland",3,"10","#ff7f00","[2,5)","[2,5)",14,0.3,-3.060051,56.592385,"(3 records)"
"174","National Mammal Atlas Project, online recording","Mammal Society",5,2016,"Scotland",1,"380","#ff7f00","[0,2)","1",7,0.3,-3.055049,56.412737,"(1 record)"
