"","dataset","provider","group","year","cntry","npts","clusterID","provider_col","npts_gp","npts_class","npts_cex","recent","X","Y","recs"
"339","Mammal Mapper App Sighting Records","Mammal Society",58,2021,"Scotland",1,"419","#ff7f00","[0,2)","1",7,1,-3.729217,56.330003,"(1 record)"
"340","National Mammal Atlas Project, online recording","Mammal Society",20,2022,"Scotland",2,"192","#ff7f00","[2,5)","[2,5)",14,1,-4.30052880573833,56.3689234836074,"(2 records)"
"341","National Mammal Atlas Project, online recording","Mammal Society",1,2021,"Scotland",1,"14","#ff7f00","[0,2)","1",7,1,-3.279673,56.585827,"(1 record)"
"342","National Mammal Atlas Project, online recording","Mammal Society",150,2022,"Scotland",1,"122","#ff7f00","[0,2)","1",7,1,-3.269017,56.632207,"(1 record)"
"343","Mammal Mapper App Sighting Records","Mammal Society",10,2023,"Scotland",1,"31","#ff7f00","[0,2)","1",7,1,-3.830042,56.349806,"(1 record)"
"344","Mammal Mapper App Sighting Records","Mammal Society",7,2022,"Scotland",12,"465","#ff7f00","[5,50)","[5,50)",21,1,-3.1414520644022,56.5916645630649,"(12 records)"
"345","National Mammal Atlas Project, online recording","Mammal Society",47,2022,"Scotland",1,"375","#ff7f00","[0,2)","1",7,1,-3.78846,56.152722,"(1 record)"
"346","National Mammal Atlas Project, online recording","Mammal Society",51,2022,"Scotland",1,"399","#ff7f00","[0,2)","1",7,1,-3.720891,56.081793,"(1 record)"
"347","Mammal Mapper App Sighting Records","Mammal Society",12,2022,"Scotland",3,"72","#ff7f00","[2,5)","[2,5)",14,1,-4.00933180919583,56.3739869927408,"(3 records)"
"348","National Mammal Atlas Project, online recording","Mammal Society",5,2022,"Scotland",1,"386","#ff7f00","[0,2)","1",7,1,-3.450738,56.588441,"(1 record)"
"349","Mammal Mapper App Sighting Records","Mammal Society",5,2021,"Scotland",1,"385","#ff7f00","[0,2)","1",7,1,-3.22285,56.590891,"(1 record)"
"350","Mammal Mapper App Sighting Records","Mammal Society",31,2021,"Scotland",4,"292","#ff7f00","[2,5)","[2,5)",14,1,-3.55631617364819,56.5792874595571,"(4 records)"
"351","Mammal Mapper App Sighting Records","Mammal Society",882,2021,"Scotland",1,"516","#ff7f00","[0,2)","1",7,1,-3.53747,56.317841,"(1 record)"
"352","National Mammal Atlas Project, online recording","Mammal Society",105,2022,"Scotland",1,"44","#ff7f00","[0,2)","1",7,1,-3.587729,56.748498,"(1 record)"
"353","National Mammal Atlas Project, online recording","Mammal Society",107,2022,"Scotland",1,"50","#ff7f00","[0,2)","1",7,1,-4.20669,56.145959,"(1 record)"
"354","National Mammal Atlas Project, online recording","Mammal Society",24,2022,"Scotland",1,"232","#ff7f00","[0,2)","1",7,1,-3.681732,55.920583,"(1 record)"
"355","Mammal Mapper App Sighting Records","Mammal Society",74,2022,"Scotland",4,"480","#ff7f00","[2,5)","[2,5)",14,1,-3.40917162093168,56.3463227986882,"(4 records)"
"356","Mammal Mapper App Sighting Records","Mammal Society",5,2022,"Scotland",1,"386","#ff7f00","[0,2)","1",7,1,-3.449363,56.552517,"(1 record)"
"357","National Mammal Atlas Project, online recording","Mammal Society",45,2022,"Scotland",2,"363","#ff7f00","[2,5)","[2,5)",14,1,-3.994188,55.772128,"(2 records)"
"358","Mammal Mapper App Sighting Records","Mammal Society",309,2021,"Scotland",3,"287","#ff7f00","[2,5)","[2,5)",14,1,-3.062574,56.682207,"(3 records)"
"359","Mammal Mapper App Sighting Records","Mammal Society",431,2021,"Scotland",6,"356","#ff7f00","[5,50)","[5,50)",21,1,-4.30523250993059,56.4722122307768,"(6 records)"
"360","National Mammal Atlas Project, online recording","Mammal Society",68,2022,"Scotland",2,"451","#ff7f00","[2,5)","[2,5)",14,1,-3.26496202269633,56.7253281395072,"(2 records)"
"361","National Mammal Atlas Project, online recording","Mammal Society",69,2022,"Scotland",2,"456","#ff7f00","[2,5)","[2,5)",14,1,-4.22797162224855,56.2354465476765,"(2 records)"
"362","National Mammal Atlas Project, online recording","Mammal Society",9,2022,"Scotland",6,"526","#ff7f00","[5,50)","[5,50)",21,1,-3.61451433403573,56.6103825698611,"(6 records)"
"363","Mammal Mapper App Sighting Records","Mammal Society",2,2022,"Scotland",2,"188","#ff7f00","[2,5)","[2,5)",14,1,-3.580194,56.568893,"(2 records)"
"364","National Mammal Atlas Project, online recording","Mammal Society",6,2022,"Scotland",1,"426","#ff7f00","[0,2)","1",7,1,-4.405267,56.232125,"(1 record)"
"365","National Mammal Atlas Project, online recording","Mammal Society",8,2022,"Scotland",2,"501","#ff7f00","[2,5)","[2,5)",14,1,-3.51316999706363,56.4137997891558,"(2 records)"
"366","Mammal Mapper App Sighting Records","Mammal Society",6,2022,"Scotland",2,"426","#ff7f00","[2,5)","[2,5)",14,1,-4.3891506310465,56.232437547332,"(2 records)"
"367","National Mammal Atlas Project, online recording","Mammal Society",102,2022,"Scotland",2,"37","#ff7f00","[2,5)","[2,5)",14,1,-3.69906412492947,56.3157285025614,"(2 records)"
"368","National Mammal Atlas Project, online recording","Mammal Society",42,2022,"Scotland",3,"349","#ff7f00","[2,5)","[2,5)",14,1,-3.446623,56.480669,"(3 records)"
"369","National Mammal Atlas Project, online recording","Mammal Society",124,2022,"Scotland",1,"78","#ff7f00","[0,2)","1",7,1,-3.153902,56.465765,"(1 record)"
"370","National Mammal Atlas Project, online recording","Mammal Society",97,2022,"Scotland",2,"535","#ff7f00","[2,5)","[2,5)",14,1,-3.895618,56.366793,"(2 records)"
"371","National Mammal Atlas Project, online recording","Mammal Society",148,2022,"Scotland",1,"115","#ff7f00","[0,2)","1",7,1,-4.403211,57.44891,"(1 record)"
"372","National Mammal Atlas Project, online recording","Mammal Society",70,2022,"Scotland",1,"468","#ff7f00","[0,2)","1",7,1,-3.281284,56.392636,"(1 record)"
"373","National Mammal Atlas Project, online recording","Mammal Society",85,2022,"Scotland",1,"513","#ff7f00","[0,2)","1",7,1,-3.42799210000001,56.4018415,"(1 record)"
"374","National Mammal Atlas Project, online recording","Mammal Society",110,2022,"Scotland",1,"59","#ff7f00","[0,2)","1",7,1,-3.594827,56.318778,"(1 record)"
"375","National Mammal Atlas Project, online recording","Mammal Society",19,2022,"Scotland",1,"169","#ff7f00","[0,2)","1",7,1,-4.037511,56.598182,"(1 record)"
"376","Mammal Mapper App Sighting Records","Mammal Society",3,2022,"Scotland",1,"279","#ff7f00","[0,2)","1",7,1,-5.551387,56.06065,"(1 record)"
"377","National Trust for Scotland Species Records","National Trust for Scotland",8,2018,"Scotland",1,"502","#cab2d6","[0,2)","1",7,0.5,-3.590514,56.562337,"(1 record)"
"378","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",36,2020,"Scotland",41,"315","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.28482620459807,56.6434300842922,"(41 records)"
"379","Tayside Beaver Survey 2017-18","NatureScot",1278,2017,"Scotland",256,"83","#6a3d9a","[100,500)","[100,500)",35,0.5,-3.90557753350896,56.3692903401757,"(256 records)"
"380","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",16,2020,"Scotland",60,"142","#6a3d9a","[50,100)","[50,100)",28,0.7,-3.84522495697743,56.6310074926125,"(60 records)"
"381","Tayside Beaver Survey 2017-18","NatureScot",1543,2017,"Scotland",219,"127","#6a3d9a","[100,500)","[100,500)",35,0.5,-3.77292778788344,56.3563169148213,"(219 records)"
"382","Tayside Beaver Survey 2017-18","NatureScot",4641,2017,"Scotland",15,"372","#6a3d9a","[5,50)","[5,50)",21,0.5,-3.71500120127646,56.2908984240286,"(15 records)"
"383","Tayside Beaver Survey 2017-18","NatureScot",17390,2017,"Scotland",9,"151","#6a3d9a","[5,50)","[5,50)",21,0.5,-4.49318262372174,56.4180806304854,"(9 records)"
"384","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",29,2020,"Scotland",83,"269","#6a3d9a","[50,100)","[50,100)",28,0.7,-3.59350017989911,56.4016458164052,"(83 records)"
"385","Survey of distribution of beavers in Tayside in 2012","NatureScot",317,2012,"Scotland",96,"299","#6a3d9a","[50,100)","[50,100)",28,0.3,-3.55331120374909,56.346414319569,"(96 records)"
"386","Tayside Beaver Survey 2017-18","NatureScot",3133,2017,"Scotland",71,"296","#6a3d9a","[50,100)","[50,100)",28,0.5,-2.9225410181619,56.6389204780265,"(71 records)"
"387","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",31,2020,"Scotland",44,"293","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.70013033861927,56.3462736158694,"(44 records)"
"388","Survey of distribution of beavers in Tayside in 2012","NatureScot",432,2012,"Scotland",30,"358","#6a3d9a","[5,50)","[5,50)",21,0.3,-3.47818184841375,56.5392090739954,"(30 records)"
"389","Tayside Beaver Survey 2017-18","NatureScot",5009,2017,"Scotland",7,"393","#6a3d9a","[5,50)","[5,50)",21,0.5,-4.19994889521631,56.2286380671626,"(7 records)"
"390","Tayside Beaver Survey 2017-18","NatureScot",1937,2017,"Scotland",16,"175","#6a3d9a","[5,50)","[5,50)",21,0.5,-4.07850217003014,56.1538537098632,"(16 records)"
"391","Tayside Beaver Survey 2017-18","NatureScot",1986,2017,"Scotland",5,"178","#6a3d9a","[5,50)","[5,50)",21,0.5,-4.10240065618739,56.3875942172637,"(5 records)"
"392","Tayside Beaver Survey 2017-18","NatureScot",8906,2017,"Scotland",8,"522","#6a3d9a","[5,50)","[5,50)",21,0.5,-4.28443365426822,56.3797930766456,"(8 records)"
"393","Tayside Beaver Survey 2017-18","NatureScot",15551,2017,"Scotland",330,"128","#6a3d9a","[100,500)","[100,500)",35,0.5,-3.80184573729309,56.651134961322,"(330 records)"
"394","Tayside Beaver Survey 2017-18","NatureScot",6130,2017,"Scotland",8,"433","#6a3d9a","[5,50)","[5,50)",21,0.5,-4.05412459933635,56.1779765227597,"(8 records)"
"395","Tayside Beaver Survey 2017-18","NatureScot",6694,2017,"Scotland",11,"450","#6a3d9a","[5,50)","[5,50)",21,0.5,-3.72776691305526,56.4379516428963,"(11 records)"
"396","Tayside Beaver Survey 2017-18","NatureScot",18067,2017,"Scotland",1,"163","#6a3d9a","[0,2)","1",7,0.5,-3.406082,56.278168,"(1 record)"
"397","Surveys of beavers in the Rivers Balvag, Leny and Teith in 2012","NatureScot",140,2012,"Scotland",1,"106","#6a3d9a","[0,2)","1",7,0.3,-4.271671,56.251278,"(1 record)"
"398","Surveys of beavers in the Rivers Balvag, Leny and Teith in 2012","NatureScot",384,2012,"Scotland",1,"321","#6a3d9a","[0,2)","1",7,0.3,-4.3669,56.355541,"(1 record)"
"399","Survey of distribution of beavers in Tayside in 2012","NatureScot",384,2012,"Scotland",2,"321","#6a3d9a","[2,5)","[2,5)",14,0.3,-4.36692799967066,56.3559895000031,"(2 records)"
"400","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",42,2020,"Scotland",133,"351","#6a3d9a","[100,500)","[100,500)",35,0.7,-3.578198303443,56.3419954499942,"(133 records)"
"401","Tayside Beaver Survey 2017-18","NatureScot",340,2017,"Scotland",20,"309","#6a3d9a","[5,50)","[5,50)",21,0.5,-2.86072635702696,56.4205368240318,"(20 records)"
"402","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",18,2020,"Scotland",118,"161","#6a3d9a","[100,500)","[100,500)",35,0.7,-4.04385943433468,56.1351697733316,"(118 records)"
"403","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",22,2020,"Scotland",9,"210","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.60515804192175,56.5619037826811,"(9 records)"
"404","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",23,2020,"Scotland",250,"224","#6a3d9a","[100,500)","[100,500)",35,0.7,-3.98647395941576,56.6049345421813,"(250 records)"
"405","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",24,2020,"Scotland",51,"234","#6a3d9a","[50,100)","[50,100)",28,0.7,-3.02390860958426,56.6191146667801,"(51 records)"
"406","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",25,2020,"Scotland",264,"240","#6a3d9a","[100,500)","[100,500)",35,0.7,-3.46840075072112,56.4391863294211,"(264 records)"
"407","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",26,2020,"Scotland",100,"248","#6a3d9a","[100,500)","[100,500)",35,0.7,-3.07849871540796,56.6196966177794,"(100 records)"
"408","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",28,2020,"Scotland",75,"262","#6a3d9a","[50,100)","[50,100)",28,0.7,-4.26994021281478,56.5990508513114,"(75 records)"
"409","Surveys of beavers in the Rivers Balvag, Leny and Teith in 2012","NatureScot",33,2012,"Scotland",4,"303","#6a3d9a","[2,5)","[2,5)",14,0.3,-4.1806447199648,56.2189905129811,"(4 records)"
"410","Tayside Beaver Survey 2017-18","NatureScot",1222,2017,"Scotland",15,"77","#6a3d9a","[5,50)","[5,50)",21,0.5,-3.5523500312213,56.490828566986,"(15 records)"
"411","Tayside Beaver Survey 2017-18","NatureScot",1273,2017,"Scotland",2671,"82","#6a3d9a","[500,1e+04]","[500,1e+04]",42,0.5,-3.32419029814649,56.5543742063965,"(2671 records)"
"412","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",1,2020,"Scotland",43,"18","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.26403306798344,56.724560172596,"(43 records)"
"413","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",3,2020,"Scotland",71,"281","#6a3d9a","[50,100)","[50,100)",28,0.7,-4.39214830167113,56.2287033274051,"(71 records)"
"414","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",4,2020,"Scotland",36,"333","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.43004388708792,56.4058357534923,"(36 records)"
"415","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",703,2020,"Scotland",108,"472","#6a3d9a","[100,500)","[100,500)",35,0.7,-4.14498331033832,56.6008814840598,"(108 records)"
"416","Tayside Beaver Survey 2017-18","NatureScot",7,2018,"Scotland",3,"467","#6a3d9a","[2,5)","[2,5)",14,0.5,-3.21640647593486,56.4145239118466,"(3 records)"
"417","Tayside Beaver Survey 2017-18","NatureScot",17,2018,"Scotland",3,"149","#6a3d9a","[2,5)","[2,5)",14,0.5,-2.97587746096975,56.6422837238943,"(3 records)"
"418","Tayside Beaver Survey 2017-18","NatureScot",19,2018,"Scotland",4,"170","#6a3d9a","[2,5)","[2,5)",14,0.5,-3.31011728855394,56.3729920060528,"(4 records)"
"419","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",1058,2020,"Scotland",20,"47","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.78431894898117,56.5051591084305,"(20 records)"
"420","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",1300,2020,"Scotland",60,"92","#6a3d9a","[50,100)","[50,100)",28,0.7,-3.35390897517828,56.3481716619224,"(60 records)"
"421","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",1327,2020,"Scotland",2,"96","#6a3d9a","[2,5)","[2,5)",14,0.7,-3.888993,56.466791,"(2 records)"
"422","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",27,2020,"Scotland",185,"255","#6a3d9a","[100,500)","[100,500)",35,0.7,-2.98763974072274,56.6206428962907,"(185 records)"
"423","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",129,2021,"Scotland",53,"85","#6a3d9a","[50,100)","[50,100)",28,1,-3.72667674814325,56.4368038987366,"(53 records)"
"424","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",2226,2020,"Scotland",217,"217","#6a3d9a","[100,500)","[100,500)",35,0.7,-2.94991236254771,56.6242156277428,"(217 records)"
"425","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",136,2021,"Scotland",373,"101","#6a3d9a","[100,500)","[100,500)",35,1,-3.6864211763768,56.6596432672278,"(373 records)"
"426","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",33,2020,"Scotland",172,"304","#6a3d9a","[100,500)","[100,500)",35,0.7,-3.28098133501287,56.5671235867753,"(172 records)"
"427","Survey of distribution of beavers in Tayside in 2012","NatureScot",395,2012,"Scotland",4,"324","#6a3d9a","[2,5)","[2,5)",14,0.3,-3.96674503671889,56.5999949643035,"(4 records)"
"428","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",163,2021,"Scotland",32,"145","#6a3d9a","[5,50)","[5,50)",21,1,-2.89092048978777,56.5728636794823,"(32 records)"
"429","Survey of distribution of beavers in Tayside in 2012","NatureScot",444,2012,"Scotland",2,"361","#6a3d9a","[2,5)","[2,5)",14,0.3,-2.8995844241643,56.5896065430873,"(2 records)"
"430","Survey of distribution of beavers in Tayside in 2012","NatureScot",519,2012,"Scotland",38,"404","#6a3d9a","[5,50)","[5,50)",21,0.3,-3.09936277144856,56.6103538867735,"(38 records)"
"431","Survey of distribution of beavers in Tayside in 2012","NatureScot",540,2012,"Scotland",5,"411","#6a3d9a","[5,50)","[5,50)",21,0.3,-3.59526015918787,56.5691496609768,"(5 records)"
"432","Survey of distribution of beavers in Tayside in 2012","NatureScot",643,2012,"Scotland",1,"445","#6a3d9a","[0,2)","1",7,0.3,-3.037118,56.676582,"(1 record)"
"433","Survey of distribution of beavers in Tayside in 2012","NatureScot",646,2012,"Scotland",4,"446","#6a3d9a","[2,5)","[2,5)",14,0.3,-4.28098,56.380518,"(4 records)"
"434","Survey of distribution of beavers in Tayside in 2012","NatureScot",705,2012,"Scotland",10,"473","#6a3d9a","[5,50)","[5,50)",21,0.3,-3.4473563699037,56.4725092864696,"(10 records)"
"435","Survey of distribution of beavers in Tayside in 2012","NatureScot",784,2012,"Scotland",6,"492","#6a3d9a","[5,50)","[5,50)",21,0.3,-3.4850720103773,56.4188157213839,"(6 records)"
"436","Survey of distribution of beavers in Tayside in 2012","NatureScot",788,2012,"Scotland",102,"494","#6a3d9a","[100,500)","[100,500)",35,0.3,-3.74729412934362,56.3385864267687,"(102 records)"
"437","Tayside Beaver Survey 2017-18","NatureScot",198,2017,"Scotland",377,"177","#6a3d9a","[100,500)","[100,500)",35,0.5,-3.22354969536253,56.6241284700223,"(377 records)"
"438","Tayside Beaver Survey 2017-18","NatureScot",208,2017,"Scotland",381,"197","#6a3d9a","[100,500)","[100,500)",35,0.5,-3.04336870830765,56.6787223143989,"(381 records)"
"439","Tayside Beaver Survey 2017-18","NatureScot",223,2017,"Scotland",44,"219","#6a3d9a","[5,50)","[5,50)",21,0.5,-4.02156752179201,56.3717861132555,"(44 records)"
"440","Tayside Beaver Survey 2017-18","NatureScot",227,2017,"Scotland",68,"220","#6a3d9a","[50,100)","[50,100)",28,0.5,-4.36656198306199,56.2170215327653,"(68 records)"
"441","Tayside Beaver Survey 2017-18","NatureScot",300,2017,"Scotland",12,"285","#6a3d9a","[5,50)","[5,50)",21,0.5,-3.97663725237127,56.1466299376268,"(12 records)"
"442","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",19,2021,"Scotland",80,"171","#6a3d9a","[50,100)","[50,100)",28,1,-3.14655998288304,56.6673024769802,"(80 records)"
"443","Tayside Beaver Survey 2017-18","NatureScot",637,2017,"Scotland",461,"443","#6a3d9a","[100,500)","[100,500)",35,0.5,-3.40899236636475,56.3557496545188,"(461 records)"
"444","Tayside Beaver Survey 2017-18","NatureScot",657,2017,"Scotland",73,"447","#6a3d9a","[50,100)","[50,100)",28,0.5,-4.58423753794924,56.3959429752204,"(73 records)"
"445","Tayside Beaver Survey 2017-18","NatureScot",686,2017,"Scotland",21,"453","#6a3d9a","[5,50)","[5,50)",21,0.5,-3.14573682035968,56.6704920444743,"(21 records)"
"446","Tayside Beaver Survey 2017-18","NatureScot",778,2017,"Scotland",37,"490","#6a3d9a","[5,50)","[5,50)",21,0.5,-3.76566945487343,56.1479809548328,"(37 records)"
"447","Tayside Beaver Survey 2017-18","NatureScot",958,2017,"Scotland",1,"533","#6a3d9a","[0,2)","1",7,0.5,-3.168187,56.368003,"(1 record)"
"448","Tayside Beaver Survey 2017-18","NatureScot",981,2017,"Scotland",6,"540","#6a3d9a","[5,50)","[5,50)",21,0.5,-3.11736779424256,56.4463328188661,"(6 records)"
"449","Tayside Beaver Survey 2017-18","NatureScot",1053,2017,"Scotland",1652,"45","#6a3d9a","[500,1e+04]","[500,1e+04]",42,0.5,-3.40193819433073,56.5444888573743,"(1652 records)"
"450","Survey of distribution of beavers in Tayside in 2012","NatureScot",42,2012,"Scotland",272,"350","#6a3d9a","[100,500)","[100,500)",35,0.3,-3.37152028895281,56.5406011355648,"(272 records)"
"451","Survey of distribution of beavers in Tayside in 2012","NatureScot",46,2012,"Scotland",64,"369","#6a3d9a","[50,100)","[50,100)",28,0.3,-3.84415430182997,56.6306816505821,"(64 records)"
"452","Survey of distribution of beavers in Tayside in 2012","NatureScot",47,2012,"Scotland",68,"376","#6a3d9a","[50,100)","[50,100)",28,0.3,-2.94909966996806,56.6329949397788,"(68 records)"
"453","Survey of distribution of beavers in Tayside in 2012","NatureScot",68,2012,"Scotland",39,"452","#6a3d9a","[5,50)","[5,50)",21,0.3,-3.46205450071325,56.358771728275,"(39 records)"
"454","Survey of distribution of beavers in Tayside in 2012","NatureScot",69,2012,"Scotland",46,"457","#6a3d9a","[5,50)","[5,50)",21,0.3,-4.12728575910051,56.7005685577596,"(46 records)"
"455","Survey of distribution of beavers in Tayside in 2012","NatureScot",74,2012,"Scotland",26,"481","#6a3d9a","[5,50)","[5,50)",21,0.3,-3.64231290012661,56.3388302945822,"(26 records)"
"456","Survey of distribution of beavers in Tayside in 2012","NatureScot",83,2012,"Scotland",2,"511","#6a3d9a","[2,5)","[2,5)",14,0.3,-3.39987667688521,56.3796730929547,"(2 records)"
"457","Survey of distribution of beavers in Tayside in 2012","NatureScot",93,2012,"Scotland",107,"530","#6a3d9a","[100,500)","[100,500)",35,0.3,-3.96053654664188,56.3712136648879,"(107 records)"
"458","Survey of distribution of beavers in Tayside in 2012","NatureScot",101,2012,"Scotland",189,"34","#6a3d9a","[100,500)","[100,500)",35,0.3,-3.2289916263077,56.5788323493482,"(189 records)"
"459","Survey of distribution of beavers in Tayside in 2012","NatureScot",107,2012,"Scotland",30,"51","#6a3d9a","[5,50)","[5,50)",21,0.3,-3.64316376148633,56.6218381743577,"(30 records)"
"460","Survey of distribution of beavers in Tayside in 2012","NatureScot",116,2012,"Scotland",63,"65","#6a3d9a","[50,100)","[50,100)",28,0.3,-3.84712371607667,56.3624768969041,"(63 records)"
"461","Survey of distribution of beavers in Tayside in 2012","NatureScot",140,2012,"Scotland",2,"106","#6a3d9a","[2,5)","[2,5)",14,0.3,-4.271671,56.251278,"(2 records)"
"462","Survey of distribution of beavers in Tayside in 2012","NatureScot",193,2012,"Scotland",8,"173","#6a3d9a","[5,50)","[5,50)",21,0.3,-3.17774401401407,56.6641904232229,"(8 records)"
"463","Survey of distribution of beavers in Tayside in 2012","NatureScot",207,2012,"Scotland",48,"196","#6a3d9a","[5,50)","[5,50)",21,0.3,-3.45213951614526,56.4196120793878,"(48 records)"
"464","Survey of distribution of beavers in Tayside in 2012","NatureScot",280,2012,"Scotland",150,"263","#6a3d9a","[100,500)","[100,500)",35,0.3,-3.71129358927937,56.6518236555401,"(150 records)"
"465","Survey of distribution of beavers in Tayside in 2012","NatureScot",288,2012,"Scotland",3,"267","#6a3d9a","[2,5)","[2,5)",14,0.3,-4.041006,56.708203,"(3 records)"
"466","Tayside Beaver Survey 2017-18","NatureScot",81,2017,"Scotland",37,"507","#6a3d9a","[5,50)","[5,50)",21,0.5,-4.10575729524313,56.7023751861604,"(37 records)"
"467","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",148,2021,"Scotland",318,"116","#6a3d9a","[100,500)","[100,500)",35,1,-3.97039257882322,56.3723468057795,"(318 records)"
"468","Tayside Beaver Survey 2017-18","NatureScot",95,2017,"Scotland",2363,"532","#6a3d9a","[500,1e+04]","[500,1e+04]",42,0.5,-3.60668281771491,56.5925358589483,"(2363 records)"
"469","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",43,2020,"Scotland",368,"355","#6a3d9a","[100,500)","[100,500)",35,0.7,-3.79791639876007,56.3500721565312,"(368 records)"
"470","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",45,2020,"Scotland",76,"365","#6a3d9a","[50,100)","[50,100)",28,0.7,-4.31054761262567,56.4686446857688,"(76 records)"
"471","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",48,2020,"Scotland",313,"378","#6a3d9a","[100,500)","[100,500)",35,0.7,-3.47186258953203,56.3588128874306,"(313 records)"
"472","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",50,2020,"Scotland",39,"391","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.05591975932831,56.6779474845637,"(39 records)"
"473","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",62,2020,"Scotland",58,"438","#6a3d9a","[50,100)","[50,100)",28,0.7,-4.01542931975379,56.366082332824,"(58 records)"
"474","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",75,2020,"Scotland",12,"484","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.17987896188219,56.685950014063,"(12 records)"
"475","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",80,2020,"Scotland",538,"506","#6a3d9a","[500,1e+04]","[500,1e+04]",42,0.7,-3.91092437301605,56.3696414768634,"(538 records)"
"476","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",88,2020,"Scotland",34,"515","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.44529360669632,56.5101415622728,"(34 records)"
"477","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",97,2020,"Scotland",436,"537","#6a3d9a","[100,500)","[100,500)",35,0.7,-3.16853427680805,56.596322724144,"(436 records)"
"478","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",122,2020,"Scotland",14,"75","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.72977588208591,56.6976864710025,"(14 records)"
"479","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",136,2020,"Scotland",92,"100","#6a3d9a","[50,100)","[50,100)",28,0.7,-4.10227178625425,56.7024108488168,"(92 records)"
"480","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",154,2020,"Scotland",347,"126","#6a3d9a","[100,500)","[100,500)",35,0.7,-3.88440562916946,56.6210356397114,"(347 records)"
"481","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",172,2020,"Scotland",26,"150","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.78747614613244,56.5090708877427,"(26 records)"
"482","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",177,2020,"Scotland",17,"152","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.72347640675941,56.1525524850025,"(17 records)"
"483","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",183,2020,"Scotland",42,"166","#6a3d9a","[5,50)","[5,50)",21,0.7,-4.30533690315511,56.3656132858536,"(42 records)"
"484","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",192,2020,"Scotland",22,"172","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.45567749709204,56.5707639483975,"(22 records)"
"485","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",220,2020,"Scotland",24,"212","#6a3d9a","[5,50)","[5,50)",21,0.7,-3.18938921188113,56.3353212430751,"(24 records)"
"486","Survey of the Tayside Area Beaver Population, 2020-2021","NatureScot",31,2021,"Scotland",182,"294","#6a3d9a","[100,500)","[100,500)",35,1,-3.5732257708295,56.5743529700754,"(182 records)"
